,0
-0.002,0
-0.003,1
-0.004,2
-0.007,3
-0.012,4
-0.013,5
-0.014,6
-0.02,7
-0.022,8
-0.023,9
-0.024,10
-0.031,11
-0.034,12
-0.038,13
-0.04,14
-0.043,15
-0.044,16
-0.048,17
-0.049,18
-0.05,19
-0.054,20
-0.056,21
-0.058,22
-0.067,23
-0.068,24
-0.069,25
-0.07,26
-0.072,27
-0.074,28
-0.076,29
-0.079,30
-0.08,31
-0.081,32
-0.082,33
-0.083,34
-0.084,35
-0.085,36
-0.086,37
-0.087,38
-0.088,39
-0.089,40
-0.09,41
-0.091,42
-0.092,43
-0.093,44
-0.094,45
-0.095,46
-0.096,47
-0.097,48
-0.099,49
-0.1,50
-0.102,51
-0.104,52
-0.105,53
-0.106,54
-0.107,55
-0.108,56
-0.109,57
-0.11,58
-0.111,59
-0.112,60
-0.113,61
-0.114,62
-0.115,63
-0.116,64
-0.117,65
-0.118,66
-0.119,67
-0.12,68
-0.121,69
-0.122,70
-0.123,71
-0.124,72
-0.125,73
-0.126,74
-0.127,75
-0.128,76
-0.129,77
-0.13,78
-0.131,79
-0.132,80
-0.133,81
-0.134,82
-0.135,83
-0.136,84
-0.137,85
-0.138,86
-0.139,87
-0.14,88
-0.141,89
-0.142,90
-0.143,91
-0.144,92
-0.148,93
-0.149,94
-0.15,95
-0.152,96
-0.163,97
-0.164,98
-0.167,99
-0.168,100
-0.17,101
-0.173,102
-0.174,103
-0.176,104
-0.178,105
-0.18,106
-0.181,107
-0.184,108
-0.19,109
-0.191,110
-0.192,111
-0.193,112
-0.194,113
-0.195,114
-0.197,115
-0.2,116
-0.204,117
-0.208,118
-0.212,119
-0.22,120
-0.227,121
-0.23,122
-0.234,123
-0.236,124
-0.267,125
-0.276,126
-0.284,127
-0.289,128
-0.291,129
-0.292,130
-0.293,131
-0.297,132
-0.3,133
-0.32,134
-0.33,135
-0.336,136
-0.339,137
-0.343,138
-0.351,139
-0.354,140
-0.356,141
-0.357,142
-0.363,143
-0.365,144
-0.367,145
-0.368,146
-0.369,147
-0.37,148
-0.372,149
-0.375,150
-0.376,151
-0.377,152
-0.378,153
-0.379,154
-0.38,155
-0.381,156
-0.382,157
-0.383,158
-0.384,159
-0.385,160
-0.386,161
-0.387,162
-0.388,163
-0.389,164
-0.39,165
-0.391,166
-0.392,167
-0.393,168
-0.394,169
-0.395,170
-0.396,171
-0.397,172
-0.398,173
-0.399,174
-0.4,175
-0.401,176
-0.403,177
-0.404,178
-0.405,179
-0.406,180
-0.407,181
-0.408,182
-0.41,183
-0.411,184
-0.412,185
-0.413,186
-0.414,187
-0.418,188
-0.419,189
-0.421,190
-0.423,191
-0.425,192
-0.443,193
-0.47,194
-0.479,195
-0.48,196
-0.482,197
-0.494,198
-0.496,199
-0.497,200
-0.504,201
-0.509,202
-0.51,203
-0.511,204
-0.517,205
-0.52,206
-0.524,207
-0.529,208
-0.53,209
-0.533,210
-0.54,211
-0.542,212
-0.543,213
-0.544,214
-0.545,215
-0.546,216
-0.547,217
-0.548,218
-0.549,219
-0.552,220
-0.553,221
-0.557,222
-0.559,223
-0.56,224
-0.563,225
-0.574,226
-0.58,227
-0.61,228
-0.612,229
-0.619,230
-0.62,231
-0.627,232
-0.628,233
-0.631,234
-0.634,235
-0.638,236
-0.64,237
-0.643,238
-0.645,239
-0.647,240
-0.648,241
-0.7,242
-0.725,243
-0.727,244
-0.738,245
-0.746,246
-0.752,247
-0.755,248
-0.757,249
