,0
-0.001,0
-0.002,1
-0.003,2
-0.004,3
-0.005,4
-0.006,5
-0.007,6
-0.008,7
-0.009,8
-0.01,9
-0.011,10
-0.012,11
-0.013,12
-0.014,13
-0.016,14
-0.017,15
-0.018,16
-0.019,17
-0.02,18
-0.021,19
-0.022,20
-0.023,21
-0.024,22
-0.026,23
-0.027,24
-0.028,25
-0.029,26
-0.03,27
-0.031,28
-0.033,29
-0.034,30
-0.035,31
-0.036,32
-0.037,33
-0.038,34
-0.039,35
-0.041,36
-0.042,37
-0.043,38
-0.044,39
-0.045,40
-0.046,41
-0.047,42
-0.048,43
-0.051,44
-0.052,45
-0.053,46
-0.054,47
-0.055,48
-0.056,49
-0.057,50
-0.058,51
-0.06,52
-0.061,53
-0.062,54
-0.063,55
-0.064,56
-0.066,57
-0.067,58
-0.068,59
-0.069,60
-0.07,61
-0.071,62
-0.072,63
-0.073,64
-0.074,65
-0.075,66
-0.076,67
-0.077,68
-0.078,69
-0.079,70
-0.08,71
-0.081,72
-0.082,73
-0.083,74
-0.084,75
-0.085,76
-0.086,77
-0.087,78
-0.088,79
-0.089,80
-0.09,81
-0.091,82
-0.092,83
-0.093,84
-0.094,85
-0.095,86
-0.096,87
-0.097,88
-0.098,89
-0.099,90
-0.1,91
-0.101,92
-0.102,93
-0.103,94
-0.104,95
-0.105,96
-0.106,97
-0.107,98
-0.108,99
-0.109,100
-0.11,101
-0.111,102
-0.112,103
-0.113,104
-0.114,105
-0.115,106
-0.116,107
-0.117,108
-0.118,109
-0.119,110
-0.12,111
-0.121,112
-0.122,113
-0.123,114
-0.124,115
-0.125,116
-0.126,117
-0.127,118
-0.128,119
-0.129,120
-0.13,121
-0.131,122
-0.132,123
-0.133,124
-0.134,125
-0.135,126
-0.136,127
-0.137,128
-0.138,129
-0.139,130
-0.14,131
-0.141,132
-0.142,133
-0.143,134
-0.144,135
-0.145,136
-0.146,137
-0.147,138
-0.148,139
-0.149,140
-0.15,141
-0.151,142
-0.152,143
-0.153,144
-0.154,145
-0.155,146
-0.156,147
-0.157,148
-0.158,149
-0.159,150
-0.16,151
-0.161,152
-0.162,153
-0.163,154
-0.164,155
-0.165,156
-0.166,157
-0.167,158
-0.168,159
-0.169,160
-0.17,161
-0.171,162
-0.172,163
-0.173,164
-0.174,165
-0.175,166
-0.176,167
-0.178,168
-0.179,169
-0.18,170
-0.181,171
-0.182,172
-0.183,173
-0.184,174
-0.186,175
-0.187,176
-0.188,177
-0.189,178
-0.19,179
-0.191,180
-0.192,181
-0.193,182
-0.194,183
-0.195,184
-0.196,185
-0.197,186
-0.198,187
-0.199,188
-0.2,189
-0.202,190
-0.203,191
-0.204,192
-0.205,193
-0.206,194
-0.207,195
-0.208,196
-0.209,197
-0.21,198
-0.211,199
-0.212,200
-0.213,201
-0.215,202
-0.217,203
-0.218,204
-0.221,205
-0.222,206
-0.223,207
-0.224,208
-0.225,209
-0.227,210
-0.228,211
-0.229,212
-0.232,213
-0.233,214
-0.234,215
-0.236,216
-0.237,217
-0.238,218
-0.24,219
-0.241,220
-0.242,221
-0.243,222
-0.244,223
-0.245,224
-0.246,225
-0.247,226
-0.248,227
-0.25,228
-0.251,229
-0.257,230
-0.258,231
-0.261,232
-0.262,233
-0.263,234
-0.269,235
-0.27,236
-0.271,237
-0.272,238
-0.273,239
-0.274,240
-0.275,241
-0.276,242
-0.277,243
-0.278,244
-0.279,245
-0.281,246
-0.282,247
-0.283,248
-0.285,249
-0.286,250
-0.287,251
-0.288,252
-0.289,253
-0.29,254
-0.291,255
-0.292,256
-0.294,257
-0.295,258
-0.296,259
-0.297,260
-0.298,261
-0.299,262
-0.3,263
-0.301,264
-0.302,265
-0.303,266
-0.304,267
-0.306,268
-0.313,269
-0.318,270
-0.322,271
-0.323,272
-0.327,273
-0.328,274
-0.329,275
-0.33,276
-0.334,277
-0.335,278
-0.336,279
-0.337,280
-0.341,281
-0.342,282
-0.343,283
-0.349,284
-0.35,285
-0.352,286
-0.353,287
-0.354,288
-0.355,289
-0.356,290
-0.358,291
-0.36,292
-0.361,293
-0.362,294
-0.363,295
-0.366,296
-0.367,297
-0.368,298
-0.369,299
-0.371,300
-0.372,301
-0.373,302
-0.376,303
-0.377,304
-0.378,305
-0.379,306
-0.382,307
-0.383,308
-0.384,309
-0.385,310
-0.386,311
-0.388,312
-0.389,313
-0.39,314
-0.391,315
-0.392,316
-0.393,317
-0.394,318
-0.395,319
-0.396,320
-0.397,321
