,0
-100,0
-1000,1
-120,2
-123,3
-127,4
-138,5
-15,6
-150,7
-1500,8
-181,9
-189,10
-194,11
-197,12
-200,13
-2000,14
-203,15
-205,16
-212,17
-218,18
-2200,19
-241,20
-250,21
-264,22
-270,23
-275,24
-276,25
-287,26
-30,27
-300,28
-3000,29
-307,30
-31,31
-322,32
-330,33
-332,34
-333,35
-340,36
-341,37
-347,38
-350,39
-360,40
-365,41
-377,42
-384,43
-385,44
-399,45
-400,46
-406,47
-408,48
-42,49
-420,50
-427,51
-430,52
-431,53
-438,54
-44,55
-446,56
-45,57
-456,58
-460,59
-470,60
-480,61
-485,62
-490,63
-495,64
-496,65
-50,66
-500,67
-525,68
-547,69
-550,70
-582,71
-59,72
-609,73
-61,74
-624,75
-628,76
-63,77
-650,78
-700,79
-729,80
-730,81
-750,82
-753,83
-814,84
-900,85
100,86
1000,87
1001,88
1002,89
1003,90
1004,91
1005,92
1006,93
1007,94
1008,95
1009,96
1010,97
1011,98
1012,99
1013,100
1014,101
1015,102
1016,103
1017,104
1018,105
1019,106
1020,107
1021,108
1022,109
1023,110
1024,111
1025,112
1026,113
1027,114
1028,115
1029,116
1030,117
1031,118
1032,119
1034,120
1035,121
1036,122
1037,123
1038,124
1039,125
1040,126
1041,127
1042,128
1043,129
1044,130
1045,131
1046,132
1047,133
1048,134
1049,135
1050,136
1051,137
1052,138
1053,139
1054,140
1055,141
1056,142
1057,143
1058,144
1059,145
1060,146
1061,147
1063,148
1064,149
1065,150
1066,151
1067,152
1068,153
1069,154
107,155
1070,156
1071,157
1072,158
1073,159
1074,160
1075,161
1076,162
1077,163
1078,164
1079,165
108,166
1080,167
1081,168
1082,169
1083,170
1084,171
1085,172
1086,173
1087,174
1088,175
1089,176
1091,177
1092,178
1093,179
1095,180
1096,181
1097,182
1098,183
1099,184
11,185
1100,186
1101,187
1102,188
1103,189
1104,190
1105,191
1106,192
1107,193
1108,194
1109,195
1110,196
1111,197
1112,198
1113,199
1114,200
1115,201
1116,202
1117,203
1118,204
1119,205
1120,206
1121,207
1122,208
1123,209
1124,210
1125,211
1126,212
1127,213
1128,214
1129,215
1130,216
1131,217
1132,218
1133,219
1134,220
1135,221
1136,222
1137,223
1138,224
1139,225
114,226
1140,227
1141,228
1142,229
1143,230
1144,231
1146,232
1147,233
1148,234
1149,235
1150,236
1151,237
1152,238
1153,239
1154,240
1155,241
1156,242
1157,243
1158,244
1159,245
1160,246
1161,247
1162,248
1163,249
1164,250
1165,251
1167,252
1168,253
1169,254
117,255
1170,256
1171,257
1172,258
1173,259
1174,260
1175,261
1176,262
1177,263
1178,264
1179,265
1180,266
1181,267
1182,268
1183,269
1184,270
1185,271
1186,272
1187,273
1189,274
1190,275
1191,276
1192,277
1193,278
1194,279
1195,280
1196,281
1197,282
1198,283
1199,284
120,285
1200,286
1201,287
1202,288
1203,289
1204,290
1205,291
1206,292
1207,293
1208,294
1209,295
121,296
1210,297
1211,298
1212,299
1213,300
1214,301
1215,302
1216,303
1217,304
1218,305
1219,306
1220,307
1221,308
1222,309
1223,310
1224,311
1225,312
1226,313
1227,314
1228,315
1229,316
1230,317
1231,318
1232,319
1233,320
1234,321
1235,322
1236,323
1237,324
1238,325
1239,326
1240,327
1241,328
1242,329
1243,330
1244,331
1245,332
1246,333
1247,334
1248,335
1249,336
125,337
1250,338
1251,339
1252,340
1253,341
1254,342
1255,343
1256,344
1257,345
1258,346
1259,347
1260,348
1261,349
1262,350
1263,351
1264,352
1265,353
1266,354
1267,355
1268,356
1270,357
1271,358
1272,359
1273,360
1274,361
1275,362
1276,363
1277,364
1278,365
1279,366
1280,367
1281,368
1282,369
1283,370
1284,371
1285,372
1286,373
1287,374
1288,375
1289,376
129,377
1290,378
1291,379
1292,380
1293,381
1294,382
1295,383
1296,384
1297,385
1298,386
1299,387
130,388
1300,389
1301,390
1302,391
1303,392
1304,393
1305,394
1306,395
1307,396
1308,397
1309,398
131,399
1310,400
1311,401
1312,402
1313,403
1314,404
1315,405
1316,406
1317,407
1318,408
1319,409
1320,410
1321,411
1322,412
1323,413
1324,414
1325,415
1326,416
1327,417
1328,418
1329,419
133,420
1330,421
1331,422
1332,423
1333,424
1334,425
1335,426
1336,427
1337,428
1339,429
1340,430
1341,431
1342,432
1343,433
1344,434
1345,435
1346,436
1347,437
1348,438
1349,439
135,440
1350,441
1351,442
1352,443
1353,444
1354,445
1355,446
1356,447
1358,448
1359,449
1360,450
1361,451
1362,452
1363,453
1364,454
1365,455
1366,456
1367,457
1368,458
1369,459
1370,460
1371,461
1372,462
1373,463
1374,464
1375,465
1376,466
1377,467
1378,468
1379,469
138,470
1380,471
1381,472
1382,473
1383,474
