,0
22-rdf-syntax-ns#first,0
22-rdf-syntax-ns#rest,1
22-rdf-syntax-ns#type,2
NTNames#altitude,3
NTNames#antagonistOf,4
NTNames#childOf,5
NTNames#collaboratesWith,6
NTNames#description,7
NTNames#enemyOf,8
NTNames#ethnicity,9
NTNames#ethnicityOf,10
NTNames#hasAntagonist,11
NTNames#hasEnemy,12
NTNames#hasOnlyGenealogyMention,13
NTNames#knows,14
NTNames#latitude,15
NTNames#location,16
NTNames#locationOf,17
NTNames#longitude,18
NTNames#member,19
NTNames#memberOf,20
NTNames#name_en,21
NTNames#nativePlace,22
NTNames#nativePlaceOf,23
NTNames#occupation,24
NTNames#parentOf,25
NTNames#possiblySamePersonAs,26
NTNames#relativeOf,27
NTNames#religiousBelief,28
NTNames#residentPlace,29
NTNames#residentPlaceOf,30
NTNames#siblingOf,31
NTNames#spouseOf,32
NTNames#subregion,33
NTNames#subregionOf,34
NTNames#visitedPlace,35
NTNames#visitedPlaceOf,36
owl#allValuesFrom,37
owl#cardinality,38
owl#differentFrom,39
owl#disjointWith,40
owl#inverseOf,41
owl#onProperty,42
owl#unionOf,43
owl#versionInfo,44
rdf-schema#comment,45
rdf-schema#domain,46
rdf-schema#label,47
rdf-schema#range,48
rdf-schema#subClassOf,49
rdf-schema#subPropertyOf,50
